Feedback,Sentiment
Enhance Safety,Neutral review
Amplify Productivity,Neutral review
Ensure Compliance,Neutral review
Address any use case within minutes by building your rules and workflows without a single line of code,Neutral review
Access to every hierarchy of location information,Neutral review
Manage on-field or remote operations with agility. Manage on the go,Neutral review
4X,Neutral review
25%,Neutral review
40%,Neutral review
20 +,Neutral review
5K +,Neutral review
âSyook provides us with complete real-time visibility inside our factory which enables us to ensure the safety of our workers and gives us an idea of their whereabouts. Syookâs can-do attitude and willingness to quickly and effectively adapt to our changing environment highlight the immense value they place on customer centricity and empathy. We are happy to have such a reliable partner to help us enhance our operations.â,Positive review
"Syook did an amazing job. The implementation of TTT Project in our FIAPL plant has eased our operations by providing real time tracking, compliance monitoring, reports generation along with alerts, notifications & dashboard analytics. All this adds up to a very comprehensive system that we use on a daily basis. We greatly appreciate their attention to detail and their approach of resolving the technical issues.",Positive review
Designation,Neutral review
"Co-Founder and CEO, Lenskart",Neutral review
"VP, Strategic Initiatives, GIVA",Neutral review
"Business Head, Retail at Pigeon",Neutral review
"Co-founder, The Sleep Company",Neutral review
"Operations, Heads Up for Tails",Neutral review
"Generalist, Wiom",Neutral review
"Head, Risk and Analytics at DMI Finance",Neutral review
"Head, BIU, Piramal Finance",Neutral review
Designation,Neutral review
"Sr. Director, Network Engineering Operations, 
                    ",Neutral review
"IT & OT Systems Deployment Manager,
                    ",Neutral review
"General Manager, European Technical Center One,
                    
                    ",Neutral review
"Director of Product Development- Interior Systems,Marelli
                    ",Neutral review
"General Manager RD Construction / EUTC 2,",Neutral review
" Senior RF Manager,T-Mobile",Neutral review
"Sr. Director, Network Engineering Operations, ",Neutral review
feedback,Neutral review
"In Manba, I have personally experienced and unparalleled diversity in my work here; and thatï¿½s whatï¿½s made it so interesting. The journey has been one-of-a-kind! Today the company is focused on bringing greater standardization of processes, adopting global best practices and building a roadmap for growth.  Iï¿½m proud to be part of the Manba Finance Ltd. and to have contributed to building a strong and stable organization.ï¿½",Positive review
"Manba Finance is a great place for young and creative minds to apply their skills and knowledge. They possess and let their talent prosper in a positive and challenging working work environment. My 16 long years of association with Manba finance has been very fruitful and I have improved a great deal as a professional in my current position, I work with inspirational leaders across the board that provide learning opportunities to support my personal as well as my aspirational developmental plans. There is a great amount of enthusiasm amongst all the members of the Manba Family and I believe this is what will lead the organization to greater heights. I am very happy and proud  to be a part of an organization that helps me grow and enhance my skills",Positive review
"Manba  is a platform where I have got an opportunity to achieve my goals, learn to face Challenges  win over them. People here believe in professionalism  Team work. Manba  has assured that its employees get job satisfaction thus enhancing the level of its own performance  which in turn improves customer satisfaction.- THE ULTIMATE GOAL OF ORGANISATION FOR SUCCESS. It is really an honour to work with such an esteemed organization &amp; witness the growth of it.ï¿½ ",Positive review
"Manba Group is known for its ever evolving, never resting vision to achieve its determined goals. Its a great place for young and creative minds to apply their skills and knowledge they possess and let their talent prosper in a positive working environment. The leaders have been supportive to give me an opportunity to develop my abilities and efficiency both personally and professionally. It is inspiring to work for an organization that encourages growth and offers opportunities for advancement.ï¿½ ",Positive review
Manba Group is a great work-place for young minds to enhance skills and competencies and encourage the emerging talent to prosper by providing a positive &amp; active environment. It feels worthy to gain immense scope of learning &amp; exposure in each attributes in such a challenging and rapidly growing company. It is exciting to be a part of such a company with a promising bright future.,Positive review
"Working with Manba Finance has been a wonderful experience. Manba is a place where belief of ownership encourages and pushes us to think independently with a creative mindset to push ourselves out of our comfort zones. It helps accelerate growth. The communication channels are open, honest and transparent.",Positive review
"Talking about my journey, my career progression has been quite impressive hereï¿½I got great opportunities could explore diversification, work beyond the current role and have enhanced my knowledge personally and professionally. One key thing is ï¿½Learning never stops at Manba Finance, all throughout my career the leaders have been very supportive towards developing my skills with adequate mentoring. This is a right organization for those who believe in professionalism, team work and freedom of work. There are list of reasons why Manba Finance is a great place to workï¿½but I would conclude with a quote by Dave Ramsay ï¿½Thereï¿½s a great place to go when youï¿½re broke-to work",Positive review
I am proud to share my thoughts on the remarkable journey I have had as the HR at Manba Finance.,Positive review
I have had the privilege of working with an incredibly talented and diverse team of individuals. The companyï¿½s emphasis on professional growth and development ensures that our employees are continually improving and contributing their best to the organization.,Positive review
"Our commitment to an inclusive workplace, core values, and unwavering support for professional growth sets us apart. The culture of innovation drives us forward, ensuring we stay ahead in the business world.",Neutral review
"Manba is not just a workplace; itï¿½s a dynamic, caring, and innovative family. Iï¿½m honoured to contribute to this remarkable organization and look forward to continued success and positive impact.",Positive review
feedback,Neutral review
Excellent place to buy Artificial flowers and interior related items. Very reliable and morally sound people to deal with.,Positive review
Used the service of I N M for the opening of my new restaurant. The services which they provided was excellent. Mr. Sandeep was kind enough to understand my requirements very patiently. Will definitely recommend their services.,Positive review
"Thank you, Interiors and More Ltd., for the excellent service! Mr. Sandeep truly listens and provides high-quality flowers with great attention to detail. We speak French and come from the DRC, and we really appreciate the exceptional customer service!",Positive review
feedback,Neutral review
Vogo is using Arabian products from last six months and it has been an excellent experience with the product quality and performance,Positive review
Our company have been associated with Arabian Petroleum Limited since 3 years. We use their products like flute grinding straight cutting oil (fg-01).We have been satisfied with their _quality.,Neutral review
"We use APLï¿½s products like Nuspray Inst QD Gold - Antirust. We have been    delighted with their Quality  Value. (Special Mention For - Quality, Rates, and Excellence in     Service.)",Positive review
Lubrication Handling & Storage: Itâs more than you might think,Positive review
Designation,Neutral review
Glenmark Pharmaceutical Ltd.,Neutral review
Sr. Director - Project & Execution Eisai Pharmaceutical India Pvt. Ltd.,Neutral review
Head - Factory Rajaram Consumer Care Pvt. Ltd,Neutral review
